transactionid,date,region,product,business_unit,customer,revenue,cogs,operating_expense,interest,tax,financial_metric,actual,budget,month,year,gross_profit,ebitda,net_profit,net_profit_margin
TXN00039,2024-09-15,West,Desktop Workstation,South Region,Josys,254841.0,140366,74167,3625,7336,Net Profit,1605000,1476600,Sep,2024,114475,40308,29347,0.1152
TXN00415,2025-01-15,West,Ergonomic Mouse,East Region,Gohub,218503.0,120776,50427,2631,8933,Operating Expenses,3355000,3522750,Jan,2025,97727,47300,35736,0.1635
TXN00244,2024-10-15,North,External SSD 1TB,West Region,Qihub,352753.0,198647,56692,6966,18089,Operating Expenses,3180000,3339000,Oct,2024,154106,97414,72359,0.2051
TXN00030,2024-12-15,West,External SSD 1TB,East Region,Zatek,251404.0,142742,32098,2252,14862,Revenue,12265000,11283800,Dec,2024,108662,76564,59450,0.2365
TXN00468,2025-06-15,North,Desktop Workstation,East Region,Fipro,240905.0,135266,46510,2643,11297,Gross Profit,5820000,5354400,Jun,2025,105639,59129,45189,0.1876
TXN00165,2025-03-15,North,Wireless Keyboard,West Region,Orpro,157771.0,88571,54337,3487,2275,Gross Profit,5635000,5184200,Mar,2025,69200,14863,9101,0.0577
TXN00432,2025-06-15,North,Laser Printer,West Region,Fizon,263863.0,150629,73080,4203,7190,Operating Expenses,3615000,3795750,Jun,2025,113234,40154,28761,0.109
TXN00164,2025-02-15,East,Laser Printer,East Region,Josys,165904.0,98536,59430,3412,905,Net Profit,1880000,1729600,Feb,2025,67368,7938,3621,0.0218
TXN00050,2024-08-15,South,External SSD 2TB,North Region,Elzon,258506.0,153034,67658,4621,6638,Operating Expenses,3055000,3207750,Aug,2024,105472,37814,26555,0.1027
TXN00499,2025-01-15,East,Webcam HD,East Region,Hapro,168476.0,99272,49262,5832,2822,Gross Profit,5565000,5119800,Jan,2025,69204,19942,11288,0.067
TXN00248,2025-02-15,East,Office Printer,North Region,Kazon,256536.0,150302,43134,3103,11999,Operating Expenses,3390000,3559500,Feb,2025,106234,63100,47998,0.1871
TXN00257,2024-11-15,East,External SSD 2TB,South Region,Wamax,305356.0,180630,43237,5977,15102,Gross Profit,5435000,5000200,Nov,2024,124726,81489,60410,0.1978
TXN00445,2024-07-15,East,Bluetooth Speaker,North Region,Demax,166820.0,93154,78584,5177,-2019,Gross Profit,5245000,4825400,Jul,2024,73666,-4918,-8076,-0.0484
TXN00043,2025-01-15,East,Office Printer,South Region,Cagen,238347.0,140348,69480,3996,4904,Net Profit,1815000,1669800,Jan,2025,97999,28519,19619,0.0823
TXN00396,2025-06-15,West,Noise Cancelling Headset,East Region,Elgen,444028.0,264596,55052,2669,24342,Net Profit,2110000,1941200,Jun,2025,179432,124380,97369,0.2193
